epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,13080.4,2.13968,1.5291,0.00315,0.40834,0.32741,0.31768,0.16898,2.11223,1.46494,0.00375,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,13245,2.13795,1.52328,0.00312,0.41386,0.32334,0.31746,0.16917,2.10794,1.46262,0.00375,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,13408.2,2.13292,1.51817,0.00314,0.41931,0.3198,0.31879,0.16989,2.10956,1.46013,0.00374,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,13571,2.12348,1.51935,0.00313,0.41776,0.32024,0.31818,0.16889,2.10683,1.46134,0.00374,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,13733.9,2.12758,1.52222,0.00314,0.41038,0.32383,0.31851,0.17014,2.10169,1.45986,0.00373,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,13898.8,2.12981,1.51765,0.00312,0.42073,0.31965,0.31988,0.16972,2.1065,1.45871,0.00373,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,14063.4,2.12333,1.51721,0.00312,0.4264,0.32263,0.32026,0.17089,2.09689,1.45753,0.00371,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,14226.7,2.12558,1.51756,0.00314,0.41999,0.32335,0.32064,0.17165,2.10075,1.45367,0.00373,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,14390.5,2.11912,1.50799,0.00312,0.42768,0.3227,0.32142,0.17149,2.09994,1.45512,0.00372,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,14555.2,2.12093,1.50978,0.00309,0.42679,0.32372,0.32389,0.17239,2.09801,1.45475,0.00372,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,14720.5,2.11562,1.51103,0.00313,0.42374,0.32249,0.32407,0.17269,2.09633,1.45324,0.00371,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,14880.7,2.10797,1.50589,0.00311,0.42702,0.32305,0.32498,0.17471,2.09028,1.4505,0.0037,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
